"name","id_card_holder","card","total_amount_per_person"
"Mark Lewis",23,"4741042733274","566.28"
"Matthew Gutierrez",10,"4962915017023706562","747.1900000000003"
"Megan Price",12,"5297187379298983","676.87"
"Kevin Spencer",20,"3535651398328201","704.79"
"Megan Price",12,"501879657465","14441.719999999996"
"Sean Taylor",7,"3516952396080247","10686.92"
"Gary Jacobs",14,"5175947111814778","649.8299999999999"
"Brandon Pineda",11,"4027907156459098","661.7899999999998"
"Matthew Gutierrez",10,"213193946980303","585.7199999999996"
"Stephanie Dalton",24,"30142966699187","7272.620000000002"
"Laurie Gibbs",9,"30181963913340","10391.270000000008"
"Stephanie Dalton",24,"3582198969197591","496.22"
"Mark Lewis",23,"4188164051171486","546.7200000000001"
"Malik Carlson",18,"4498002758300","590.9700000000003"
"Dana Washington",21,"4279104135293225293","638.08"
"Megan Price",12,"376027549341849","644.98"
"Peter Mckay",19,"4743204091443101526","695.0599999999998"
"Michael Floyd",8,"4834483169177062","578.53"
"Brandon Pineda",11,"4644008655884311378","564.8399999999998"
"Kyle Tucker",15,"4723783028106084756","719.1700000000001"
"Sara Cooper",5,"4276466390111","519.72"
"Brandon Pineda",11,"180098539019105","611.7399999999999"
"Peter Mckay",19,"5361779664174555","576.64"
"Michael Floyd",8,"30063281385429","419.5"
"Peter Mckay",19,"3561072557118696","557.0500000000001"
"Danielle Green",4,"584226564303","876.9599999999999"
"John Martin",13,"5135837688671496","716.3100000000002"
"Austin Johnson",22,"501809222273","588.6500000000002"
"Crystal Clark",16,"503842928916","812.4899999999996"
"Matthew Gutierrez",10,"4165305432349489280","593.1699999999998"
"Stephanie Dalton",24,"4681896441519","499.83"
"Kevin Spencer",20,"4586962917519654607","669.4899999999998"
"Sean Taylor",7,"4539990688484983","742.4399999999999"
"Malik Carlson",18,"344119623920892","11509.64"
"John Martin",13,"4711773125020499","761.5000000000001"
"Michael Carroll",17,"6011987562414062","613.8500000000003"
"Mark Lewis",23,"4150721559116778","523.92"
"Beth Hernandez",6,"3581345943543942","14089.77"
"Shane Shaffer",2,"675911140852","419.7999999999998"
"Nancy Contreras",25,"372414832802279","533.38"
"Robert Johnson",1,"3517111172421930","638.01"
"Crystal Clark",16,"5500708021555307","640.3999999999999"
"Crystal Clark",16,"5570600642865857","14368.559999999996"
"Kyle Tucker",15,"6500236164848279","601.16"
"Kevin Spencer",20,"4506405265172173","509"
"Shane Shaffer",2,"4866761290278198714","529.8000000000002"
"Elizabeth Sawyer",3,"30078299053512","8071.99"
"Robert Johnson",1,"4761049645711555811","14081.58"
"Beth Hernandez",6,"4159836738768855913","670.23"
"Sara Cooper",5,"4268491956169254","720.1999999999999"
"Danielle Green",4,"4263694062533017","493.79"
"John Martin",13,"3561954487988605","626.76"
"Nancy Contreras",25,"4319653513507","11315.05"
