"name","id_card_holder","card","transactions_less_than_$2"
"Megan Price",12,"376027549341849","13"
"Danielle Green",4,"584226564303","12"
"Malik Carlson",18,"344119623920892","11"
"Brandon Pineda",11,"180098539019105","11"
"Peter Mckay",19,"4743204091443101526","10"
"Sean Taylor",7,"3516952396080247","10"
"Stephanie Dalton",24,"3582198969197591","9"
"Stephanie Dalton",24,"4681896441519","9"
"Crystal Clark",16,"503842928916","9"
"Michael Floyd",8,"30063281385429","9"
"Matthew Gutierrez",10,"4962915017023706562","9"
"John Martin",13,"3561954487988605","9"
"Sara Cooper",5,"4268491956169254","9"
"Gary Jacobs",14,"5175947111814778","9"
"Nancy Contreras",25,"372414832802279","9"
"Malik Carlson",18,"4498002758300","8"
"Sean Taylor",7,"4539990688484983","8"
"Crystal Clark",16,"5500708021555307","8"
"Peter Mckay",19,"3561072557118696","8"
"Megan Price",12,"501879657465","8"
"Mark Lewis",23,"4741042733274","7"
"Austin Johnson",22,"501809222273","7"
"Kevin Spencer",20,"4586962917519654607","7"
"Robert Johnson",1,"3517111172421930","7"
"Kevin Spencer",20,"4506405265172173","7"
"Nancy Contreras",25,"4319653513507","7"
"John Martin",13,"5135837688671496","6"
"Matthew Gutierrez",10,"4165305432349489280","6"
"Mark Lewis",23,"4188164051171486","6"
"Shane Shaffer",2,"675911140852","6"
"Kyle Tucker",15,"6500236164848279","6"
"Kyle Tucker",15,"4723783028106084756","6"
"Michael Floyd",8,"4834483169177062","6"
"Matthew Gutierrez",10,"213193946980303","5"
"Shane Shaffer",2,"4866761290278198714","5"
"Brandon Pineda",11,"4027907156459098","5"
"Megan Price",12,"5297187379298983","5"
"Brandon Pineda",11,"4644008655884311378","5"
"Sara Cooper",5,"4276466390111","5"
"Stephanie Dalton",24,"30142966699187","4"
"John Martin",13,"4711773125020499","4"
"Michael Carroll",17,"6011987562414062","4"
"Peter Mckay",19,"5361779664174555","4"
"Danielle Green",4,"4263694062533017","4"
"Beth Hernandez",6,"4159836738768855913","4"
"Dana Washington",21,"4279104135293225293","4"
"Kevin Spencer",20,"3535651398328201","4"
"Mark Lewis",23,"4150721559116778","3"
"Laurie Gibbs",9,"30181963913340","3"
"Robert Johnson",1,"4761049645711555811","3"
"Elizabeth Sawyer",3,"30078299053512","3"
"Crystal Clark",16,"5570600642865857","2"
"Beth Hernandez",6,"3581345943543942","2"
